date,time,PAR,Ts
[yyyy-mm-dd],[HH:MM],mumolm-2s-1,degC
2025-07-01,00:00,44.122748688504146,4.656803395020463
2025-07-01,00:15,0.0,5.163437504210771
2025-07-01,00:30,18.760322583703548,4.62153902737687
2025-07-01,00:45,60.347160260949536,3.010702998100185
2025-07-01,01:00,0.0,5.777300161013582
2025-07-01,01:15,0.0,6.196835408643582
2025-07-01,01:30,0.32888429341100756,4.873103040721832
2025-07-01,01:45,0.0,4.992579862446183
2025-07-01,02:00,19.76600910424985,6.601818289089898
2025-07-01,02:15,0.0,5.120899579132517
2025-07-01,02:30,113.93429788252843,5.593548048936046
2025-07-01,02:45,0.0,6.697185237853688
2025-07-01,03:00,0.0,4.176004869484431
2025-07-01,03:15,226.01067737202703,5.796392597778731
2025-07-01,03:30,0.0,6.183998148327108
2025-07-01,03:45,1.2758316706164157,6.458778565306405
2025-07-01,04:00,0.0,6.900354951784212
2025-07-01,04:15,0.0,3.6875651825938887
2025-07-01,04:30,87.26546212518306,4.885566712761807
2025-07-01,04:45,34.69193270877467,6.07962278349516
2025-07-01,05:00,0.0,4.999133949972347
2025-07-01,05:15,0.0,5.253154187649738
2025-07-01,05:30,0.0,4.880658634245232
2025-07-01,05:45,17.07644524655671,3.4880644207622957
2025-07-01,06:00,0.0,8.77496916098599
2025-07-01,06:15,16.68986467902345,6.912484548560878
2025-07-01,06:30,176.29199937868333,8.828797968113165
2025-07-01,06:45,193.3957902433587,8.122213449966468
2025-07-01,07:00,221.25696069466363,4.94173816479008
2025-07-01,07:15,96.52765245881346,4.911228720125672
2025-07-01,07:30,341.9315158448712,6.292804393918521
2025-07-01,07:45,513.2684761983822,8.516997043210063
2025-07-01,08:00,621.2283405544343,7.238417000460062
2025-07-01,08:15,550.0031295508105,7.337946602386179
2025-07-01,08:30,502.25816707051973,9.302773143540568
2025-07-01,08:45,655.8756049770027,7.749174814612329
2025-07-01,09:00,642.4711226341669,10.412157569166355
2025-07-01,09:15,786.4899825265759,9.558145379461482
2025-07-01,09:30,763.2528274528204,9.393352704873069
2025-07-01,09:45,760.8602253088109,12.973247321852298
2025-07-01,10:00,860.0902056966571,8.885962706744746
2025-07-01,10:15,833.0216859906379,12.087644548381403
2025-07-01,10:30,971.514150145968,12.267326087693057
2025-07-01,10:45,1061.6503376565972,14.263418350396977
2025-07-01,11:00,968.3469007276808,13.454662605490036
2025-07-01,11:15,865.6308558756871,13.474208452439369
2025-07-01,11:30,1084.700912005508,14.9028005919248
2025-07-01,11:45,864.2308923164494,14.330161993013661
2025-07-01,12:00,887.8712399102152,17.213566098370926
2025-07-01,12:15,917.084613683508,15.515311124130763
2025-07-01,12:30,954.5903834657257,15.873849884705477
2025-07-01,12:45,1033.9486528325806,15.961672744329032
2025-07-01,13:00,964.1904993938609,16.441403197066766
2025-07-01,13:15,818.7193814889149,16.31968208944917
2025-07-01,13:30,892.5656817916238,16.169170464985
2025-07-01,13:45,871.3209673055836,16.141761615312163
2025-07-01,14:00,935.6476026071093,18.079286554851077
2025-07-01,14:15,966.7809233532439,15.859969015871773
2025-07-01,14:30,864.8483349149791,15.933414786698213
2025-07-01,14:45,871.555256507183,16.686450551123112
2025-07-01,15:00,576.844638011569,15.910485483771069
2025-07-01,15:15,616.7866024733266,17.575462259189177
2025-07-01,15:30,604.567793996096,17.393388702056203
2025-07-01,15:45,550.4463805120084,12.464878559784147
2025-07-01,16:00,372.1784300989964,14.254829087321545
2025-07-01,16:15,424.66835360107837,15.478142984629688
2025-07-01,16:30,447.97273384283517,15.255356359675524
2025-07-01,16:45,151.23046864206313,12.55042945746381
2025-07-01,17:00,315.1152964225791,15.058758356344526
2025-07-01,17:15,172.7819953376626,15.736690399200162
2025-07-01,17:30,43.048812509326694,12.095844749657513
2025-07-01,17:45,96.9497442521521,8.318697712417997
2025-07-01,18:00,0.0,11.000595931468997
2025-07-01,18:15,185.5714404298355,10.79674344579444
2025-07-01,18:30,0.0,10.796384402203165
2025-07-01,18:45,0.0,10.571438922301299
2025-07-01,19:00,0.0,11.115712215355792
2025-07-01,19:15,121.47377284041538,8.163588319341349
2025-07-01,19:30,0.0,9.408715679667308
2025-07-01,19:45,0.0,8.913892595270143
2025-07-01,20:00,0.0,11.174424134472755
2025-07-01,20:15,37.1086950584862,6.783598965609869
2025-07-01,20:30,163.9212334793982,5.779780544154169
2025-07-01,20:45,166.638040156906,6.699494444311554
2025-07-01,21:00,6.540955928016469,8.191782509658678
2025-07-01,21:15,21.456398452907422,6.83231094023786
2025-07-01,21:30,161.69788055097945,4.065974880294586
2025-07-01,21:45,26.153957389632215,4.840502490461565
2025-07-01,22:00,79.05936128970772,7.10781676848305
2025-07-01,22:15,63.271186194824416,6.234739636480829
2025-07-01,22:30,0.0,3.977527459335054
2025-07-01,22:45,0.0,3.70994888955145
2025-07-01,23:00,144.48594976242956,5.747270663039998
2025-07-01,23:15,0.0,5.825640574819772
2025-07-01,23:30,0.0,6.2269036402862765
2025-07-01,23:45,60.44376841910643,3.8019087253247763
2025-07-02,00:00,0.0,7.7429918610072255
