,,,,,,,,,,,,
date,time,u,v,u_rot,wind_dir,u*,NEE,qc_flx,srf_flx0,srf_flx1
[yyyy-mm-dd],[HH:MM],[ms-1],[ms-1],[ms-1],[deg_from_north],[ms-1],mugm-2s-1,,mugm-2s-1,mugm-2s-1
2025-07-01,00:00,-2.932808446605736,4.186109079379215,5.111249808896358,144.98472665539452,0.6,-22.608264133070207,1,-36.13162482701443,16.654758886834685
2025-07-01,00:15,-2.0319949842377802,-3.122787713387484,3.725695467808839,33.05201487464848,0.6,7.3899510032504185,1,7.671869055493735,33.554960882984716
2025-07-01,00:30,-0.5869077710404691,-3.416901322873488,3.4669403487747354,9.746363648928423,0.6,-7.522170375232788,1,-12.50728787799751,25.59297736446576
2025-07-01,00:45,1.2878790887948333,0.7983781018954506,1.5152689995314998,238.20452366099602,0.6,-51.95950389502139,1,-51.24111869932022,9.211067701662543
2025-07-01,01:00,-2.153141193586362,-2.464117942262125,3.272291892985195,41.14689437827994,0.6,6.51834193524256,1,8.353325337138259,34.4006241015524
2025-07-01,01:15,-4.770669075609185,0.7766285812975604,4.83347032495929,99.24620674417737,0.6,10.351335302590144,1,8.853560003004551,34.99080795557057
2025-07-01,01:30,1.3979517613085712,4.856244028041888,5.053451809094279,196.05935664395844,0.6,8.712706868733262,1,7.0077704993960905,33.0307989272039
2025-07-01,01:45,4.814687376060105,-1.0105519609714952,4.919596507338368,281.8537110540553,0.6,5.258748048465417,1,7.492289095451724,33.32330615221649
2025-07-01,02:00,2.708540871402245,-0.15068925011542,2.7127294192670197,273.1843590417907,0.6,-9.846178760358693,1,-11.256847381596966,27.96438921576782
2025-07-01,02:15,3.166602026153619,0.6608199609275633,3.2348186058572916,258.21244287053423,0.6,6.657583488333584,1,7.626761109638274,33.49713636087434
2025-07-01,02:30,4.2668261524387425,4.126267637037832,5.9356457127764095,225.9594384562636,0.6,-62.03743863500662,1,-87.28499743054222,-2.97084638686632
2025-07-01,02:45,-4.488571968986529,-3.113322642068921,5.462605257053689,55.25439976245583,0.6,7.46630697415718,1,9.489470856354266,35.70793156916363
2025-07-01,03:00,2.95087472921032,-1.4790506423363148,3.3007957328631448,296.621149566202,0.6,6.342744057613002,1,6.6903958329170194,32.238060893697856
